,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,WineStyle,Full_Name
724,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2011,France,Saint-Émilion Grand Cru,Château Belair-Monange,4.2,123,109.0,2011,red,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2011 Château Belair-Monange red
725,Garnatxa 2018,Spain,Catalunya,Segura Viudas,3.1,123,6.25,2018,red,Garnatxa 2018 Segura Viudas red
726,Reserve Spéciale Cabernet - Merlot 2017,France,Pays d'Oc,Philibert du Charme,4.0,123,6.61,2017,red,Reserve Spéciale Cabernet - Merlot 2017 Philibert du Charme red
727,Reserva Tinto 1999,Portugal,Alentejo,Marquês de Borba,4.5,123,50.2,1999,red,Reserva Tinto 1999 Marquês de Borba red
728,Châteauneuf-du-Pape Chaupin 2010,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.4,123,98.0,2010,red,Châteauneuf-du-Pape Chaupin 2010 Domaine de la Janasse red
729,Margaux 2016,France,Margaux,Château Rauzan-Gassies,4.0,123,88.0,2016,red,Margaux 2016 Château Rauzan-Gassies red
730,Tempranillo Valencia 2018,Spain,Valencia,Radio Boca,3.4,123,5.15,2018,red,Tempranillo Valencia 2018 Radio Boca red
731,Pézenas 2017,France,Pézenas,Mas des Mas,3.7,123,16.79,2017,red,Pézenas 2017 Mas des Mas red
732,Les Vieilles Vignes Volnay 2015,France,Volnay,Vincent Girardin,3.9,123,48.1,2015,red,Les Vieilles Vignes Volnay 2015 Vincent Girardin red
733,Conteisa Langhe 2011,Italy,Langhe,Gaja,4.2,123,219.0,2011,red,Conteisa Langhe 2011 Gaja red
734,Kanai Riserva Carignano del Sulcis 2015,Italy,Carignano del Sulcis,Sardus Pater,3.8,123,16.57,2015,red,Kanai Riserva Carignano del Sulcis 2015 Sardus Pater red
735,Paxxo 2017,Italy,Veneto,Stefano Accordini,4.1,123,19.4,2017,red,Paxxo 2017 Stefano Accordini red
736,Petit Jaug Margaux 2012,France,Margaux,Clos du Jaugueyron,3.9,123,25.0,2012,red,Petit Jaug Margaux 2012 Clos du Jaugueyron red
737,Alentejano Reserva Tinto 2016,Portugal,Alentejano,Herdade dos Grous,4.3,123,37.9,2016,red,Alentejano Reserva Tinto 2016 Herdade dos Grous red
738,Haut-Médoc 2005,France,Haut-Médoc,Château Tour du Haut Moulin,3.7,123,27.95,2005,red,Haut-Médoc 2005 Château Tour du Haut Moulin red
